ASK1, MLK3, Mekk4, PAK, TAK1, TAO_12, Tpl2, MKK6
0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 1, 1, 0
0, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 1, 0, 1, 0
0, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 1, 1, 1, 0
0, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 1, 0, 0, 1, 0
0, 0, 0, 1, 0, 1, 0, 0
0, 0, 0, 1, 0, 1, 1, 0
0, 0, 0, 1, 1, 0, 0, 0
0, 0, 0, 1, 1, 0, 1, 0
0, 0, 0, 1, 1, 1, 0, 0
0, 0, 0, 1, 1, 1, 1, 0
0, 0, 1, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 1, 0
0, 0, 1, 0, 0, 1, 0, 0
0, 0, 1, 0, 0, 1, 1, 0
0, 0, 1, 0, 1, 0, 0, 0
0, 0, 1, 0, 1, 0, 1, 0
0, 0, 1, 0, 1, 1, 0, 0
0, 0, 1, 0, 1, 1, 1, 0
0, 0, 1, 1, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 1, 0
0, 0, 1, 1, 0, 1, 0, 0
0, 0, 1, 1, 0, 1, 1, 0
0, 0, 1, 1, 1, 0, 0, 0
0, 0, 1, 1, 1, 0, 1, 0
0, 0, 1, 1, 1, 1, 0, 0
0, 0, 1, 1, 1, 1, 1, 0
0, 1, 0, 0, 0, 0, 0, 0
0, 1, 0, 0, 0, 0, 1, 0
0, 1, 0, 0, 0, 1, 0, 0
0, 1, 0, 0, 0, 1, 1, 0
0, 1, 0, 0, 1, 0, 0, 0
0, 1, 0, 0, 1, 0, 1, 0
0, 1, 0, 0, 1, 1, 0, 0
0, 1, 0, 0, 1, 1, 1, 0
0, 1, 0, 1, 0, 0, 0, 0
0, 1, 0, 1, 0, 0, 1, 0
0, 1, 0, 1, 0, 1, 0, 0
0, 1, 0, 1, 0, 1, 1, 0
0, 1, 0, 1, 1, 0, 0, 0
0, 1, 0, 1, 1, 0, 1, 0
0, 1, 0, 1, 1, 1, 0, 0
0, 1, 0, 1, 1, 1, 1, 0
0, 1, 1, 0, 0, 0, 0, 0
0, 1, 1, 0, 0, 0, 1, 0
0, 1, 1, 0, 0, 1, 0, 0
0, 1, 1, 0, 0, 1, 1, 0
0, 1, 1, 0, 1, 0, 0, 0
0, 1, 1, 0, 1, 0, 1, 0
0, 1, 1, 0, 1, 1, 0, 0
0, 1, 1, 0, 1, 1, 1, 0
0, 1, 1, 1, 0, 0, 0, 0
0, 1, 1, 1, 0, 0, 1, 0
0, 1, 1, 1, 0, 1, 0, 0
0, 1, 1, 1, 0, 1, 1, 0
0, 1, 1, 1, 1, 0, 0, 0
0, 1, 1, 1, 1, 0, 1, 0
0, 1, 1, 1, 1, 1, 0, 0
0, 1, 1, 1, 1, 1, 1, 0
1, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 1, 1
1, 0, 0, 0, 0, 1, 0, 1
1, 0, 0, 0, 0, 1, 1, 1
1, 0, 0, 0, 1, 0, 0, 1
1, 0, 0, 0, 1, 0, 1, 1
1, 0, 0, 0, 1, 1, 0, 1
1, 0, 0, 0, 1, 1, 1, 1
1, 0, 0, 1, 0, 0, 0, 1
1, 0, 0, 1, 0, 0, 1, 1
1, 0, 0, 1, 0, 1, 0, 1
1, 0, 0, 1, 0, 1, 1, 1
1, 0, 0, 1, 1, 0, 0, 1
1, 0, 0, 1, 1, 0, 1, 1
1, 0, 0, 1, 1, 1, 0, 1
1, 0, 0, 1, 1, 1, 1, 1
